,Unnamed: 0,Unnamed: 0.1,category,date,source,text,title,month,country-source,article_len,ratio_not_stop_w,avg_word_len,title_len,ratio_unique_words,ner,sen
0,0,2841,Svet,2018-11-27 20:14:00,Sputnik-RU,Administracija predsednika SAD potvrdila je da će na marginama samita G20 u Argentini Donald Tramp održati bilateralne pregovore sa ruskim liderom Vladimirom Putinom.Kako je precizirala portparolka Bele kuće Sara Sanders Tramp će sa Putinom razgovarati o bezbednosti ali i o pitanju kontrole naoružanja.Tokom trajanja samita predsednik Tramp će se sastati i sa drugim liderima najavila je Sandersova između ostalog i sa predsednikom Argnetine premijerom Japana i nemačkom kancelarkom.Sastanak sa saudijskim princem Muhamedom bin Salmanom međutim nije planiran.Podsetimo poslednji put su se Tramp i Putin videli 11. novembra tokom radnog doručka u Parizu za vreme obeležavanja 100. godišnjice od završetka Prvog svetskog rata ali iako su se rukovali nisu imali vremena da popričaju.,Bela kuća potvrdila: Tramp i Putin se sastaju u Argentini,11,RU,112,0.19642857142857145,6.9732142857142865,10,0.7946428571428571,"['sad', 'donald', 'japana', 'g20', 'argnetine', 'bin', 'argentini', 'salmanom', 'sanders', 'parizu', 'vladimirom', 'putinom.kako', 'tramp', 'samita', 'sara', 'putin']",0.0
1,1,5438,Svet,2018-12-27,N1-USA,"[Vlasti u Japanu pogubile su danas dva osuđenika a od početka godine u toj zemlji izvršeno je ukupno 15 smrtnih kazni. Vešanjem su pogubljeni Keizo Kavamura (60) i Hiroja Suemori (67) osuđeni je na smrtnu kaznu zbog dvostrukog ubistva 1988. godine. U julu je u Japanu pogubljeno 13 članova sekte ""Aum - vrhovna istina"" odgovorne za napad sarinom u tokijskom metrou 1995 kada je umrlo 13 a otrovano hiljade osoba. Od dolaska premijera Šinza Abea na vlast 2012. godine pogubljeno je 36 zatvorenika. Japan i SAD su jedine dve industrijski razvijene u kojima je na snazi kapitalna kazna koja je na meti kritika međunarodnih organizacija za zaštitu ljudskih prava. Više od 100 osuđenika trenutno čeka smrtnu kaznu u Japanu.  ]",U Japanu izvršene dve smrtne kazne,12,USA,120,0.13333333333333333,6.008333333333334,6,0.7583333333333333,"['sad', 'šinza', 'kavamura', 'japanu', 'julu', 'japan', 'suemori', 'abea']",-0.020202020202020204
2,2,115,Ekonomijа,2018-11-07,Vostok-RU,rojekat ’Severni tok 2‘ ide po planu. Do danas je na dnu Baltičkog mora izgrađeno više od 200 kilometara gasovoda. Na projektu radi 20 brodova. Brod `Kastoro Dići` je završio svoje radove u Grajfsvaldskom zalivu u Nemačkoj. Brod `Audacija` nastavlja sa radovima na gasovodu u teritorijalnim vodama Nemačke. BrodSoliter“ radi u ekskluzivnoj zoni Finske. “ navodi se u saopštenju. ,Izgrađeno više od 200 kilometara morskog dela gasovoda „Severni tok 2“,11,RU,59,0.23728813559322035,6.423728813559323,11,0.8474576271186439,"['nemačkoj', 'finske', 'nemačke', 'brodsoliter']",0.0
3,3,7232,Vesti,2019-02-13,N1-USA,[Ministarstvo građevinarstva saobraćaja i infrastrukture Srbije saopštilo je da se na društvenoj mreži Fejsbuk pojavio lažni profil ministarke Zorane Mihajlović. Kako je navedeno odmah po otkrivanju lažni profil potpredsednice Vlade peti do sada prijavljen je Posebnom tužilaštvu za visokotehnološki kriminal kome je Kabinet potpredsednice dostavio sve informacije kojima raspolaže u vezi s tim slučajem. Iz ministarstva podsećaju da potpredsednica Vlade od stupanja na dužnost u Vladi Srbije ima istu zvaničnu Fejsbuk stranicu na kojoj se nalaze zvanične informacije o njenom radu i njeni stavovi.   ],Ministarstvo: Pojavio se peti lažni profil Zorane Mihajlović na Fejsbuku,2,USA,85,0.2,7.082352941176469,10,0.8117647058823529,"['zorane', 'mihajlović', 'srbije']",0.014492753623188406
4,4,10210,,2019-01-31 15:52:48,RFE-USA,Dogovor sa Kinom o trgovini “biće neprihvatljiv” ukoliko ne otvori tržište ne samo za finansijske usluge već i robe iz američkog proizvodnog sektora i poljoprivrede rekao je Donald Tramp. On je izrazio optimizam oko razgovora na visokom nivou u Vašingtonu sa kineskom delegacijom. Međutim po njegovim rečima nikakav sporazum neće biti sklopljen dok se on ne sretne sa kineskim predsednikom Si Đingpingom.Razgovori dve delegacije su počeli u sredu u cilju prevazilaženja razlika kada je reč kineskoj intelektualnoj svojini dosadašnjoj praksi tehnoloških transfera te popuštanja višemesečnog trgovinskog rata. Očekuje se da Tramp razgovara sa potpredsednikom kineske vlade Liju Heom na kraju pregovora u četvrtak“Razgovori protiču dobro sa dobrim namerama i u dobrom duhu. Nikakav sporazum neće biti postignut pre susreta sa mojim prijateljom predsednikom Sijem u skorašnjoj budućnosti da razgovaramo i dogovorimo se o nekim kompleksnijim pitanjima koja dugo traju”.Kineski pregovarači su predložili samit sledećeg meseca.Tramp je istakao da dve delegacije nastoje da kompletiraju sporazumu “ne ostavljajući nijedno nerešeno pitanje na stolu”. Pregovori su počeli dva dana nakon što su SAD optužile kinesku telekomunikacionu kompaniju Hjuavej i njenog glavnog finansijskog direktora Meng Vanžu da su kršile američke sankcije prema Iranu. Meng je uhapšena u Kanadu 1. decembra na zahtev Vašingtona. Međutim ministar finansija Stiv Mnučin i ministar trgovine Vilbur Ros naglašavaju da ne postoji veza između trgovinskih razgovara i slučaja Hjuavej.  ,Trump: Bez dogovora ukoliko Kina ne otvori tržište,1,USA,220,0.1590909090909091,7.027272727272727,8,0.7636363636363637,"['tramp', 'meng', 'si', 'đingpingom.razgovori', 'vilbur', 'mnučin', 'ros', 'sad', 'sredu', 'kanadu', 'liju', 'iranu', 'donald', 'kinom', 'vašingtona', 'meseca.tramp', 'stiv', 'kina', 'vašingtonu', 'heom', 'sijem', 'razgovara']",0.012269938650306749
5,5,1120,Bezbednost,2018-12-29,Vostok-RU,"Ukrajinske snage bezbednosti prekršile su ""novogodišnje"" primirje u Donbasu gađajući teritoriju Luganske Narodne Republike izjavili su za RIA Novosti u predstabništvu LNR-a u Zajedničkom centru za kontrolu i koordinaciju prekida vatre.Ranije je kontakt grupa za rešavanje situacije u Donbasu dogovorila novo primirje u regionu od 29. decembra.""U 16.20 po moskovskom vremenu vatra je otvorena od strane snaga bezbednosti Ukrajine granatama i pešadijskom naoružanju po položajima Narodne milicije LNR iz pravca Novotoškovskog naselja na području Donetskog punkta"" navodi se u soapštenju. Ranije je kontakt grupa za rešavanje situacije u Donbasu dogovorila novo primirje u regionu od 29. decembra. ""U 16.20 po moskovskom vremenu vatra je otvorena od strane snaga bezbednosti Ukrajine granatama i pešadijskom naoružanju po položajima Narodne milicije LNR iz pravca Novotoškovskog naselja na području Donetskog punkta"" navodi se u soapštenju.    Ukrajina i Novorusija iz minuta u minut ",Lugansk optužio Kijev za kršenje „novogodišnjeg“ primirja,12,RU,138,0.08695652173913042,7.108695652173912,7,0.5144927536231884,"['ukrajinske', 'ukrajine', 'donbasu', 'ukrajina', 'kijev', 'soapštenju', 'luganske', 'republike', 'narodne']",-0.017094017094017096
6,6,9084,,2018-11-14 17:23:31,RFE-USA,"Na Vijeće Europske unije za vanjske poslove u ponedjeljak će se detaljno analizirati opći izbori održani u Bosni i Hercegovini u listopadu kako bi se pokušao riješiti problem ""marginalizacije"" bosanskohercegovačkih Hrvata i njihova stavljanja u ""podređeni položaj"" najavio je hrvatski premijer Andrej Plenković u Hrvatskom saboru. Plenković je u Saboru predstavio izvješće o zadnja četiri sastanka Europskog vijeća dva formalna koji su održani krajem lipnja i sredinom listopada te dva neformalna - jedan u Sofiji u svibnju i jedan u Salzburgu sredinom rujna. Plenković je izrazio zadovoljstvo načinom na koji su primljena njegova stajališta o BiH i položaju hrvatskog naroda koja je iznio na summitu EU-a u Bruxellesu u listopadu nakon održanih općih izbora u BiH. Podnoseći izvješće u Saboru hrvatski je premijer kazao kako su Bošnjaci preglasali malobrojnije Hrvate i izabrali hrvatskog člana u tročlano predsjedništvo čime se kako je istaknuo hrvatski narod u BiH marginalizira i stavlja u podređeni položaj. ""Ono što smo uspjeli i što je ključni nastavak te rasprave da će se na razini Vijeća za vanjske poslove na kojem će u ponedjeljak u ime RH govoriti potpredsjednica vlade i ministrica vanjskih i europskih poslova Marija Pejčinović Burić vrlo detaljno pristupiti analizi općih izbora u BiH razmotriti što i kako članice EU-a i Unija kao takva mogu učiniti u dijalogu s institucijama BiH i političkim strankama da se taj problem koji je objektivno vrlo neugodnog karaktera za jednakopravnost Hrvata u BiH nastoji riješiti."" Plenković je istaknuo da to nije nikakvo miješanje u poslove druge države nego da je to legitimno zalaganje za poštivanje Daytonskog sporazuma čiji je Hrvatska potpisnik te legitimna briga o Hrvatima kao konstitutivnom narodu u susjednoj BiH. Pročitajte:",Plenković najavio analizu izbora u BiH na Vijeću EU,11,USA,275,0.10545454545454544,6.501818181818183,9,0.6109090909090911,"['sofiji', 'vijeće', 'andrej', 'plenković', 'hrvatski', 'saboru', 'unija', 'eu', 'ponedjeljak', 'bih', 'hercegovini', 'bruxellesu', 'burić', 'svibnju', 'listopadu', 'susjednoj', 'pejčinović', 'bosni', 'marija', 'hrvatska', 'i', 'izvješće']",0.0
7,7,10519,,2019-02-22 17:36:19,RFE-USA,Međunarodni sud u Hagu izreći će 20. marta pravosnažnu presudu bivšem predsjedniku Republike Srpske (RS) Radovanu Karadžiću saopštio je taj sud. Haški tribunal je Karadžića (73) u maju 2016. godine nepravosnažno osudio na 40 godina zatvora. Proglašen je krivim za genocid u Srebrenici progon Muslimana i Hrvata širom Bosne i Hercegovine terorisanje stanovništva Sarajeva dugotrajnim granatiranjem i snajperisanjem i uzimanje pripadnika UNPROFOR-a za taoce 1992-95. godine. Prvostepenom presudom Karadžić je bio oslobođen optužbe za genocid u još šest bosanskih opština. Na tu presudu žalbu su uložile i Karadžićeva odbrana i haško tužilaštvo. Odbrana je tražila sa nepravična presuda bude poništena da Karadžić bude oslobođen ili da mu bude ponovo suđeno. Tužioci su žalbom zatražili da Karadžić bude proglašen krivim i za genocid u šest bosanskih opština i da mu bude izrečena kazna doživotnog zatvora. U pritvoru u Sheveningenu (Scheweningen) Karadžić je od 30. jula 2008. Prethodno je 21. jula te godine bio uhapšen u Srbiji. Prvu optužnicu protiv Karadžića Haški tribunal podigao je u julu 1995. No media source currently available No media source currently available No media source currently available  ,Pravosnažna presuda Radovanu Karadžiću 20. marta,2,USA,181,0.1160220994475138,6.679558011049724,6,0.6464088397790055,"['tribunal', 'karadžić', 'karadžiću', 'sheveningenu', 'srebrenici', 'sarajeva', 'radovanu', 'rs', 'nepravosnažno', 'i', 'karadžića', 'hercegovine', 'julu', 'hrvata', 'republike', 'bosne', 'srpske', 'unprofor', 'tužilaštvo', 'srbiji']",-0.037267080745341616
8,8,5881,Vesti,2019-01-15,N1-USA,"[Predsednik Rusije Vladimir Putin rekao je da Rusija poštuje kurs pristupanja EU koji je izabralo srpsko rukovodstvo i da za razliku od zapadnih partnera ne pokušava da stavi Srbiju pred veštački izbor ili ste sa Rusijom ili ste sa Evropskom unijom. U intervjuu za beogradske listove Politika i Večernje uoči svoje posete Srbiji Putin je rekao da Rusija na Balkanu ima mnogo prijatelja ali da je joj je Srbija strateški partner.  ""Visoko cenimo čvrstu privrženost srpskog rukovodstva kursu na očuvanju neutralnosti zemlje"" rekao je Putin i dodao da Rusija već mnogo godina pomaže jačanju odbrambenih sposobnosti Srbije da isporučuje naoružanje i vojnu tehniku i pruža pomoć u njihovoj popravci i modernizaciji kao i da će dalje razvijati vojno-tehničku saradnju.  15.01.2019. 15.01.2019. 15.01.2019. 14.01.2019. 11.01.2019. Putin je rekao da su bilateralne veze u usponu u svim sferama. Ukazao je na povećanje robne razmene koja je iznosila dve milijade dolara 2017 kao i da su ruska ulaganja u srpsku privredu premašila četiri milijarde dolara.  Osvrćući se na gasovod Turski tok on je rekao da Gasprom razmatra različite varijante produženja kopnenog tranzitnog kraka do Evrope i da jedan od njih predviđa transport goriva na relaciji Bugarska-Srbija-Mađarska uz spajanje sa centrom za distribuciju gasa u austrijskom Baumgartenu.  ""U tom slučaju Srbija neće samo trošiti ruski gas već će i obezbeđivati tranzit"" rekao je on.  Putin je rekao da je politika SAD i nekih zapadnih zemalja usmerena na njihovo učvršćivanje dominacije u regionu ozbiljan destabilizujući faktor na Balkanu.  Rekao je da Rusija visoko ceni privrženost srpskog rukovodstva kursu na očuvanju neutranosti zdmlje.  Putin je rekao da je Rusija bila iznenađena prilično pasivnom reakcijom Evropske unije u vezi sa odlukom kosovskog parlamenta o transforamaciji Kosvoskih bezbednosnih snaga u pravu vojsku jer je očigledno da su Srbi koji žive na Kosovu doživeli takav potez kao direktnu pretnju po svoju bezbednost i da inače taj potez stvara ozbiljan rizik zaoštravanja situacije u regionu. ""Teško je da je u interesu EU zatvaranje očiju pred takvim jednostranim akcijama koje grubo krše međunarodno pravo pogotovo ako Brisel računa na to da i dalje ispunjava svoje obaveze posrednika u dijalogu između Beograda i Prištine"" rekao je on.  On je rekao da Rusija smatra da je kurs proširenja NATO nasleđe ""hladnog rata"" i da je to pogrešna strategija. Ukazao je da Alijansa danas pokušava da pojača svoje prisustvo na Balkanu ali da time samo obnavlja liniju podele na evropskom kontinentu.   ]",Putin: Mi ne stavljamo Srbiju pred veštački izbor – ili Rusija ili EU,1,USA,398,0.11809045226130653,6.442211055276383,13,0.6331658291457286,"['balkanu', 'evrope', 'evropskom', '14.01.2019', 'rusija', 'rekao', 'zdmlje', 'srbija', 'sad', 'eu', 'prištine', '15.01.2019', 'bugarska', 'mađarska', 'tranzit', 'srbiji', 'beograda', 'srbije', 'kosovu', 'vladimir', 'on', 'brisel', '11.01.2019', 'rusijom', 'baumgartenu', 'putin', 'unijom']",0.010526315789473684
9,9,8654,Aktuelno,2019-01-14 18:42:20,VOA-USA,"Američki državni sekretar Majk Pompeo izjavio je da saudijski kralj Salman i prestolonaslednik Mohamed bin Salman priznaju da je neophodno „položiti račune“ za ubistvo novinara Džamala Kašogija. Pompeo se dana sastao sa saudijskim liderima u Rijadu u okviru svoje posete Bliskom istoku. On je rekao da su i kralj i prestolonaslednik ponovo istakli da su „rešeni da pozovu na odgovornost one koji su ubili Kašogija kada je u oktobru ušao u saudijski konzulat"". Saudijska Arabija je prvo tvrdila da je novinar napustio konzulat da bi posle priznala da je ubijen u operaciji koju su agenti navodno vodili samoinicijativno. Turska navodi da je naređenje za ubistvo Kašogija došlo sa vrha saudijske vlade ali saudijski zvaničnici tvrde da prestolonaslednik nije to naredio. U decembru je američki Senat uputio oštar prekor Rijadu okrivio princa za ubistvo Kašogija i pozvao da se okonča ameirčka podrška saudijskoj koaliciji koja se bori u Jemenu. Pompeo i Mohamed bin Salman su se dogovorili da je neophodno nastaviti deeskalaciju u Jemenu uključujući i primirje u luci Hodeida. Od 2015 Saudijska Arabija predvodi koaliciju koja vrši vazdušne napade i druge vojne operacije pomažući vladi Jemena u borbi protiv pobunjenih Hutija koju su preuzeli kontrolu nad prestonicom i drugim područjima. SAD Saudijskoj Arabaiji pružaju logističku i drugu podršku u njenim operacijama u Jemenu. Iz Saudijske Arabije Pompeo putuje u Oman ali će skratiti ostatak posete da bi prisustvovao sahrani jednog člana porodice. Njegov portparol je saopštio da će posetiti Kuvajt drugom prilikom.  ",Pompeo sa Saudijcima razgovarao o ubistvu Kašogija,1,USA,242,0.10743801652892562,6.487603305785124,7,0.6528925619834711,"['konzulat', 'saudijska', 'senat', 'hodeida', 'jemena', 'rijadu', 'džamala', 'bin', 'oktobru', 'arabija', 'arabije', 'oman', 'pompeo', 'majk', 'kašogija', 'kuvajt', 'salman', 'turska', 'jemenu', 'mohamed']",-0.005714285714285714
