StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,A,B,C,D,E,F,G,Notes
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Please input your coder ID,Please input the item ID,Please choose the item set,Is the Human Interest frame present in the item?,Is the Conflict frame present in the item?,Is the Morality frame present in the item?,Is the Serbian Victimhood present in the item?,Is the Anti-Western frame present in the item?,Is the pro-Russian frame present in the item?,"Is the Russian ""might"" frame present in the item?",Do you have any notes regarding borderline presence of frames or data issues? Please write these down as concisely as possible.
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID4_TEXT""}","{""ImportId"":""QID5_TEXT""}","{""ImportId"":""QID10""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12_TEXT""}"
2019-04-11 09:22:27,2019-04-11 09:25:02,IP Address,146.50.249.244,100,155,True,2019-04-11 09:25:02,R_1gOMaYmi01K3VsN,,,,,52.3533935546875,4.9087066650390625,anonymous,EN,OD,0,Training set,No,Yes,Yes,No,No,No,No,
2019-04-11 09:25:05,2019-04-11 09:28:05,IP Address,146.50.249.244,100,180,True,2019-04-11 09:28:06,R_1HdYnhBR9ddRQpl,,,,,52.3533935546875,4.9087066650390625,anonymous,EN,OD,1,Training set,No,Yes,Yes,No,No,No,No,
2019-04-11 09:28:08,2019-04-11 09:30:23,IP Address,146.50.249.244,100,135,True,2019-04-11 09:30:24,R_2Bh4eKd2oQpXYbm,,,,,52.3533935546875,4.9087066650390625,anonymous,EN,OD,2,Training set,Yes,Yes,No,No,No,No,No,
2019-04-11 09:30:26,2019-04-11 09:31:18,IP Address,146.50.249.244,100,51,True,2019-04-11 09:31:18,R_1eVGW4tzqtf8lfR,,,,,52.3533935546875,4.9087066650390625,anonymous,EN,OD,3,Training set,No,No,No,No,No,No,No,
2019-04-11 09:31:20,2019-04-11 09:32:07,IP Address,146.50.249.244,100,46,True,2019-04-11 09:32:07,R_10NSWeaPEn7uvup,,,,,52.3533935546875,4.9087066650390625,anonymous,EN,OD,4,Training set,No,Yes,No,No,No,No,No,
2019-04-11 09:32:09,2019-04-11 09:33:16,IP Address,146.50.249.244,100,66,True,2019-04-11 09:33:16,R_2pVskADp9nwL3rA,,,,,52.3533935546875,4.9087066650390625,anonymous,EN,OD,5,Training set,No,No,No,No,No,No,No,
2019-04-11 09:33:19,2019-04-11 09:34:37,IP Address,146.50.249.244,100,78,True,2019-04-11 09:34:37,R_NVnKq1sg3A3JNrb,,,,,52.3533935546875,4.9087066650390625,anonymous,EN,OD,6,Training set,No,Yes,No,No,No,No,No,
2019-04-11 09:34:40,2019-04-11 09:35:27,IP Address,146.50.249.244,100,47,True,2019-04-11 09:35:27,R_2TnIRSf3FwVFT0t,,,,,52.3533935546875,4.9087066650390625,anonymous,EN,OD,7,Training set,No,No,No,No,No,No,No,
2019-04-11 09:35:29,2019-04-11 09:37:55,IP Address,146.50.249.244,100,146,True,2019-04-11 09:37:55,R_SDgX2LkFcEiJxjb,,,,,52.3533935546875,4.9087066650390625,anonymous,EN,OD,8,Training set,Yes,Yes,Yes,No,No,No,No,
2019-04-11 09:37:58,2019-04-11 09:39:18,IP Address,146.50.249.244,100,79,True,2019-04-11 09:39:18,R_3oLdVXcRW9AG4Ku,,,,,52.3533935546875,4.9087066650390625,anonymous,EN,OD,9,Training set,No,Yes,No,No,No,No,No,
2019-04-11 09:39:20,2019-04-11 09:39:56,IP Address,146.50.249.244,100,35,True,2019-04-11 09:39:57,R_1gqAyabo7uFSd7H,,,,,52.3533935546875,4.9087066650390625,anonymous,EN,OD,10,Training set,No,Yes,No,No,No,No,No,
2019-04-11 09:39:59,2019-04-11 09:42:29,IP Address,146.50.249.244,100,149,True,2019-04-11 09:42:29,R_3R7hmhEDmnDIFiN,,,,,52.3533935546875,4.9087066650390625,anonymous,EN,OD,11,Training set,No,Yes,Yes,No,No,No,No,
2019-04-11 09:42:30,2019-04-11 09:45:00,IP Address,146.50.249.244,100,149,True,2019-04-11 09:45:00,R_3fUHgo8CgQHn3eh,,,,,52.3533935546875,4.9087066650390625,anonymous,EN,OD,12,Training set,No,Yes,Yes,Yes,No,Yes,No,
